Sample	ValleyStart	ValleyEnd	FirstMinPosition	MinValue	group_id
W12_SRR7478279	29	80	53	2.0	1
W13_SRR7478281	29	80	53	2.0	1
WATDE0643	29	80	53	2.0	1
WATDE0669	29	80	53	2.0	1
WATDE0672	29	80	53	2.0	1
WATDE0687	29	80	53	2.0	1
WATDE0843	29	80	53	2.0	1
WEW_IG_113301	29	80	53	2.0	1
WEW_PI_428069	29	80	53	2.0	1
WEW_PI_428086	29	80	53	2.0	1
WEW_PI_654319	29	80	53	2.0	1
WEW_PI_654325-USDA	29	80	53	2.0	1
WEW_PI_656865	29	80	53	2.0	1
WEW_PI_656867	29	80	53	2.0	1
WEW_TD_023697	29	80	53	2.0	1
WEW_TD023715	29	80	53	2.0	1
WEW_TD_023643	30	80	53	3.0	3
IC573144	31	80	53	4.0	3
TA11196	31	80	53	4.0	3
TA11210	31	80	53	4.0	3
WEW_PI_467037	31	80	53	4.0	3
WEW_PI_656872	31	81	57	3.0	3
PBW343	32	80	53	5.0	3
SRR13358714	33	80	53	6.0	3
C17_SRR7478255	34	80	53	7.0	3
SRR15681639	35	80	53	8.0	3
DWR16KEERTHI	38	78	51	13.0	4
IC112047	40	80	53	13.0	4
85S21	42	80	53	15.0	4
92S12	42	80	53	15.0	4
TA11178	44	80	53	17.0	6
87S10	45	84	71	14.0	6
130S30	46	80	53	19.0	6
34S13	46	80	53	19.0	6
SRR13358754	47	80	53	20.0	6
TA1018	47	80	53	20.0	6
TA1021	47	80	53	20.0	6
TA1030	47	80	53	20.0	6
TA10666	47	80	53	20.0	6
TA11161	47	80	53	20.0	6
TA11183	47	80	53	20.0	6
TA11184	47	80	53	20.0	6
TA11185	47	80	53	20.0	6
TA11186	47	80	53	20.0	6
TA11187	47	80	53	20.0	6
TA11190	47	80	53	20.0	6
TA11201	47	80	53	20.0	6
TA11202	47	80	53	20.0	6
TA11203	47	80	53	20.0	6
TA11205	47	80	53	20.0	6
TA11220	47	80	53	20.0	6
TA1158	47	80	53	20.0	6
TA119	47	80	53	20.0	6
TA121	47	80	53	20.0	6
TA134	47	80	53	20.0	6
TA135	47	80	53	20.0	6
TA55	47	80	53	20.0	6
TA56	47	80	53	20.0	6
W5_SRR7478271	47	80	53	20.0	6
W7_SRR7478273	47	80	53	20.0	6
WEW_PI_471653	47	80	53	20.0	6
WEW_PI_471721	47	80	53	20.0	6
WEW_PI_478724	47	80	53	20.0	6
WEW_PI_478738	47	80	53	20.0	6
WEW_PI_479782	47	80	53	20.0	6
125S15	48	80	53	21.0	6
TA1415	48	80	53	21.0	6
9S4	49	80	53	22.0	6
SRR13358687	49	80	53	22.0	6
CWI49096	50	79	52	24.0	6
5S8	50	80	53	23.0	6
TA11221	110	145	118	22.0	8
CRR290197	114	145	118	22.0	8
TA1130	114	145	118	22.0	8
TA1140	114	145	118	22.0	8
TA1144	114	145	118	22.0	8
TA980	114	145	118	22.0	8
WEW_PI_428064	114	145	118	22.0	8
DW_LR_PI_113964	114	147	120	20.0	9
TYPE1EVOREVO	114	147	120	20.0	9
Y2032_CRR649843_ASP	114	147	140	20.0	9
PI221419	114	148	121	19.0	9
FIN-L1	114	149	122	18.0	9
TA1120	114	149	137	18.0	9
PI254865	114	152	125	15.0	9
WATDE0399	114	152	137	15.0	9
C33_SRR7478296	114	154	127	13.0	10
WATDE1031	114	154	127	13.0	10
WATDE1032	114	154	127	13.0	10
WATDE0665	114	155	140	12.0	10
CRR290102	114	156	137	11.0	10
WATDE0098	114	156	137	11.0	10
WATDE0664	114	157	140	10.0	10
89S28	114	158	131	9.0	10
CRR289968	114	159	137	8.0	10
PI219867	114	159	137	8.0	10
WEW_PI_656869	114	159	140	8.0	10
38S1	114	161	137	6.0	11
AAC-Elevate	114	161	137	6.0	11
CRR290069	114	162	140	5.0	11
WEW_PI_656872	114	162	140	5.0	11
TA1428	114	165	140	2.0	11
125S15	114	167	140	3.0	11
130S30	114	167	140	0.0	11
79S30	114	167	140	8.0	11
87S10	114	167	140	8.0	11
97S22	114	167	140	3.0	11
C27_SRR7478301	114	167	140	8.0	11
C306	114	167	140	3.0	11
CRR289920	114	167	140	4.0	11
CRR290077	114	167	140	8.0	11
CRR290123	114	167	140	4.0	11
CRR290219	114	167	140	3.0	11
CWI87127	114	167	140	3.0	11
IC112047	114	167	140	3.0	11
IC128159	114	167	140	0.0	11
K65	114	167	140	3.0	11
PI367199	114	167	140	3.0	11
SRR13358722	114	167	140	0.0	11
17aS18	117	167	140	6.0	11
IC296443	118	167	140	7.0	11
TA133	124	164	137	13.0	13
SRR13358667	124	166	139	11.0	13
SRR13358657	124	167	140	10.0	13
SRR13358721	124	167	140	10.0	13
TA99	124	167	140	10.0	13
W18_SRR7478310	124	167	140	11.0	13
TA11214	126	165	140	14.0	14
TA11207	126	167	140	12.0	14
CS25	127	162	135	18.0	14
W8_SRR7478274	128	162	137	19.0	14
SRR13358666	128	163	140	18.0	14
TA1058	128	165	138	16.0	14
HD2189	128	167	140	17.0	14
SRR13358734	128	167	140	14.0	14
TA1059	128	167	140	14.0	14
TA11216	128	167	140	14.0	14
TA11241	128	167	140	14.0	14
SRR13358704	129	167	140	15.0	14
HI617SUJATA	130	165	140	18.0	14
SRR13358663	135	164	137	24.0	15
13S9	138	167	140	24.0	15
14S10	138	167	140	24.0	15
35S27	138	167	140	24.0	15
6S3	138	167	140	24.0	15
PI254865	183	285	212	0.0	27
97S22	185	225	198	13.0	23
HI617SUJATA	185	225	198	13.0	23
49S5	185	227	200	11.0	23
54S8	185	227	200	11.0	23
78S9	185	227	200	11.0	23
CRR061699	185	227	200	11.0	23
CRR061702	185	227	200	11.0	23
CRR061704	185	227	200	11.0	23
CRR061706	185	227	200	11.0	23
CRR061707	185	227	200	11.0	23
CRR061708	185	227	200	11.0	23
CRR061711	185	227	200	11.0	23
CRR061712	185	227	200	11.0	23
CRR061713	185	227	200	11.0	23
CRR061714	185	227	200	11.0	23
CRR061715	185	227	200	11.0	23
CWI18174	185	227	200	11.0	23
CWI86977	185	227	200	11.0	23
G305	185	227	200	11.0	23
HD2931	185	227	200	11.0	23
ninivev1	185	227	200	11.0	23
SRR11670776	185	227	200	11.0	23
SRR13358650	185	227	200	11.0	23
SRR13358654	185	227	200	11.0	23
SRR13358658	185	227	200	11.0	23
SRR13358662	185	227	200	11.0	23
SRR13358665	185	227	200	11.0	23
SRR13358666	185	227	200	11.0	23
SRR13358667	185	227	200	11.0	23
SRR13358669	185	227	200	11.0	23
SRR13358676	185	227	200	11.0	23
SRR13358679	185	227	200	11.0	23
SRR13358721	185	227	200	11.0	23
SRR13358722	185	227	200	11.0	23
SRR13358754	185	227	200	11.0	23
SRR13358755	185	227	200	11.0	23
SRR15681640	185	227	200	11.0	23
SRR15681650	185	227	200	11.0	23
SRR15681651	185	227	200	11.0	23
TA1005	185	227	200	11.0	23
TA1018	185	227	200	11.0	23
TA1021	185	227	200	11.0	23
TA1028	185	227	200	11.0	23
TA1029	185	227	200	11.0	23
TA1030	185	227	200	11.0	23
TA10422	185	227	200	11.0	23
TA1049	185	227	200	11.0	23
TA1050	185	227	200	11.0	23
TA1054	185	227	200	11.0	23
TA1057	185	227	200	11.0	23
TA1058	185	227	200	11.0	23
TA1059	185	227	200	11.0	23
TA10666	185	227	200	11.0	23
TA1066	185	227	200	11.0	23
TA1077	185	227	200	11.0	23
TA1080	185	227	200	11.0	23
TA1082	185	227	200	11.0	23
TA1093	185	227	200	11.0	23
TA109	185	227	200	11.0	23
TA11051	185	227	200	11.0	23
TA11075	185	227	200	11.0	23
TA1112	185	227	200	11.0	23
TA11136	185	227	200	11.0	23
TA11137	185	227	200	11.0	23
TA11138	185	227	200	11.0	23
TA11139	185	227	200	11.0	23
TA11140	185	227	200	11.0	23
TA11141	185	227	200	11.0	23
TA11142	185	227	200	11.0	23
TA11143	185	227	200	11.0	23
TA11145	185	227	200	11.0	23
TA11146	185	227	200	11.0	23
TA11147	185	227	200	11.0	23
TA11148	185	227	200	11.0	23
TA11149	185	227	200	11.0	23
TA11150	185	227	200	11.0	23
TA11151	185	227	200	11.0	23
TA11152	185	227	200	11.0	23
TA11153	185	227	200	11.0	23
TA11154	185	227	200	11.0	23
TA11155	185	227	200	11.0	23
TA1115	185	227	200	11.0	23
TA11161	185	227	200	11.0	23
TA11163	185	227	200	11.0	23
TA11174	185	227	200	11.0	23
TA11175	185	227	200	11.0	23
TA11176	185	227	200	11.0	23
TA11177	185	227	200	11.0	23
TA11178	185	227	200	11.0	23
TA11180	185	227	200	11.0	23
TA11184	185	227	200	11.0	23
TA11185	185	227	200	11.0	23
TA11186	185	227	200	11.0	23
TA11187	185	227	200	11.0	23
TA11188	185	227	200	11.0	23
TA11190	185	227	200	11.0	23
TA11191	185	227	200	11.0	23
TA11194	185	227	200	11.0	23
TA11197	185	227	200	11.0	23
TA1119	185	227	200	11.0	23
TA111	185	227	200	11.0	23
TA11201	185	227	200	11.0	23
TA11202	185	227	200	11.0	23
TA11203	185	227	200	11.0	23
TA11204	185	227	200	11.0	23
TA11205	185	227	200	11.0	23
TA11206	185	227	200	11.0	23
TA1120	185	227	200	11.0	23
TA11212	185	227	200	11.0	23
TA11215	185	227	200	11.0	23
TA11216	185	227	200	11.0	23
TA11219	185	227	200	11.0	23
TA1121	185	227	200	11.0	23
TA11220	185	227	200	11.0	23
TA11221	185	227	200	11.0	23
TA11222	185	227	200	11.0	23
TA11223	185	227	200	11.0	23
TA11224	185	227	200	11.0	23
TA11225	185	227	200	11.0	23
TA11229	185	227	200	11.0	23
TA1122	185	227	200	11.0	23
TA11230	185	227	200	11.0	23
TA11231	185	227	200	11.0	23
TA11232	185	227	200	11.0	23
TA11238	185	227	200	11.0	23
TA11239	185	227	200	11.0	23
TA11241	185	227	200	11.0	23
TA11242	185	227	200	11.0	23
TA11243	185	227	200	11.0	23
TA11244	185	227	200	11.0	23
TA11245	185	227	200	11.0	23
TA11246	185	227	200	11.0	23
TA11247	185	227	200	11.0	23
TA11248	185	227	200	11.0	23
TA11252	185	227	200	11.0	23
TA11254	185	227	200	11.0	23
TA11255	185	227	200	11.0	23
TA11256	185	227	200	11.0	23
TA1130	185	227	200	11.0	23
TA1134	185	227	200	11.0	23
TA1136	185	227	200	11.0	23
TA113	185	227	200	11.0	23
TA1140	185	227	200	11.0	23
TA1143	185	227	200	11.0	23
TA1144	185	227	200	11.0	23
TA1148	185	227	200	11.0	23
TA114	185	227	200	11.0	23
TA1153	185	227	200	11.0	23
TA1158	185	227	200	11.0	23
TA1177	185	227	200	11.0	23
TA117	185	227	200	11.0	23
TA1183	185	227	200	11.0	23
TA1187	185	227	200	11.0	23
TA1191	185	227	200	11.0	23
TA119	185	227	200	11.0	23
TA120	185	227	200	11.0	23
TA121	185	227	200	11.0	23
TA123	185	227	200	11.0	23
TA131	185	227	200	11.0	23
TA132	185	227	200	11.0	23
TA133	185	227	200	11.0	23
TA134	185	227	200	11.0	23
TA135	185	227	200	11.0	23
TA1379	185	227	200	11.0	23
TA1385	185	227	200	11.0	23
TA1386	185	227	200	11.0	23
TA1389	185	227	200	11.0	23
TA1396	185	227	200	11.0	23
TA1402	185	227	200	11.0	23
TA1404	185	227	200	11.0	23
TA1406	185	227	200	11.0	23
TA1418	185	227	200	11.0	23
TA1419	185	227	200	11.0	23
TA1421	185	227	200	11.0	23
TA1422	185	227	200	11.0	23
TA1425	185	227	200	11.0	23
TA1441	185	227	200	11.0	23
TA1446	185	227	200	11.0	23
TA1449	185	227	200	11.0	23
TA1454	185	227	200	11.0	23
TA1457	185	227	200	11.0	23
TA1458	185	227	200	11.0	23
TA1459	185	227	200	11.0	23
TA1460	185	227	200	11.0	23
TA1465	185	227	200	11.0	23
TA1468	185	227	200	11.0	23
TA1469	185	227	200	11.0	23
TA1471	185	227	200	11.0	23
TA2016	185	227	200	11.0	23
TA2017	185	227	200	11.0	23
TA2018	185	227	200	11.0	23
TA52	185	227	200	11.0	23
TA54	185	227	200	11.0	23
TA55	185	227	200	11.0	23
TA56	185	227	200	11.0	23
TA66	185	227	200	11.0	23
TA94	185	227	200	11.0	23
TA993	185	227	200	11.0	23
TA99	185	227	200	11.0	23
W12_SRR7478279	185	227	200	11.0	23
W13_SRR7478281	185	227	200	11.0	23
W14_1_SRR7478316	185	227	200	11.0	23
W17_SRR7478280	185	227	200	11.0	23
W2_SRR7478276	185	227	200	11.0	23
W4_SRR7478319	185	227	200	11.0	23
W5_SRR7478271	185	227	200	11.0	23
W7_SRR7478273	185	227	200	11.0	23
W9_SRR7478275	185	227	200	11.0	23
WATDE0643	185	227	200	11.0	23
WATDE0672	185	227	200	11.0	23
WATDE0687	185	227	200	11.0	23
WATDE0843	185	227	200	11.0	23
WEW_IG_109088	185	227	200	11.0	23
WEW_IG_113301	185	227	200	11.0	23
WEW_IG_115809	185	227	200	11.0	23
WEW_IG_139169	185	227	200	11.0	23
WEW_PI_415150	185	227	200	11.0	23
WEW_PI_428064	185	227	200	11.0	23
WEW_PI_428069	185	227	200	11.0	23
WEW_PI_428086	185	227	200	11.0	23
WEW_PI_467031	185	227	200	11.0	23
WEW_PI_467037	185	227	200	11.0	23
WEW_PI_467040	185	227	200	11.0	23
WEW_PI_471653	185	227	200	11.0	23
WEW_PI_471721	185	227	200	11.0	23
WEW_PI_471725	185	227	200	11.0	23
WEW_PI_478715	185	227	200	11.0	23
WEW_PI_478719	185	227	200	11.0	23
WEW_PI_478724	185	227	200	11.0	23
WEW_PI_478738	185	227	200	11.0	23
WEW_PI_481524	185	227	200	11.0	23
WEW_PI_487254	185	227	200	11.0	23
WEW_PI_487256	185	227	200	11.0	23
WEW_PI_538708	185	227	200	11.0	23
WEW_PI_654319	185	227	200	11.0	23
WEW_PI_654325-USDA	185	227	200	11.0	23
WEW_PI_656867	185	227	200	11.0	23
zavitan	185	227	200	11.0	23
WEW_PI_478717	185	228	200	11.0	23
132S19	185	230	200	11.0	23
TA90	185	230	200	11.0	23
CRR061684	185	277	250	4.0	24
CRR061685	185	277	250	4.0	24
CRR061686	185	277	250	4.0	24
CRR061687	185	277	250	4.0	24
CRR061688	185	277	250	4.0	24
CRR061689	185	277	250	4.0	24
CRR061690	185	277	250	4.0	24
CRR061691	185	277	250	4.0	24
CRR061693	185	277	250	4.0	24
CRR061694	185	277	250	4.0	24
CRR061696	185	277	250	4.0	24
SRR11670809	185	277	250	4.0	24
SRR13358656	185	277	250	4.0	24
SRR13358657	185	277	250	4.0	24
SRR13358659	185	277	250	4.0	24
SRR13358661	185	277	250	4.0	24
SRR13358672	185	277	250	4.0	24
SRR13358674	185	277	250	4.0	24
SRR13358678	185	277	250	4.0	24
SRR13358680	185	277	250	4.0	24
SRR13358681	185	277	250	4.0	24
SRR13358751	185	277	250	4.0	24
SRR13358752	185	277	250	4.0	24
SRR13358753	185	277	250	4.0	24
SRR13358756	185	277	250	4.0	24
SRR15681643	185	277	250	4.0	24
TA1020	185	277	250	4.0	24
TA1026	185	277	250	4.0	24
TA1032	185	277	250	4.0	24
TA1034	185	277	250	4.0	24
TA1035	185	277	250	4.0	24
TA1036	185	277	250	4.0	24
TA1037	185	277	250	4.0	24
TA1040	185	277	250	4.0	24
TA1041	185	277	250	4.0	24
TA1042	185	277	250	4.0	24
TA1044	185	277	250	4.0	24
TA1045	185	277	250	4.0	24
TA1047	185	277	250	4.0	24
TA1055	185	277	250	4.0	24
TA1056	185	277	250	4.0	24
TA1061	185	277	250	4.0	24
TA1063	185	277	250	4.0	24
TA1064	185	277	250	4.0	24
TA1065	185	277	250	3.0	24
TA10667	185	277	250	4.0	24
TA10668	185	277	250	4.0	24
TA1068	185	277	250	4.0	24
TA1072	185	277	250	4.0	24
TA1075	185	277	250	4.0	24
TA108	185	277	250	4.0	24
TA110	185	277	250	4.0	24
TA11162	185	277	250	4.0	24
TA11164	185	277	250	4.0	24
TA11165	185	277	250	4.0	24
TA11166	185	277	250	4.0	24
TA11167	185	277	250	4.0	24
TA11168	185	277	250	4.0	24
TA11169	185	277	250	4.0	24
TA11170	185	277	250	4.0	24
TA11171	185	277	250	4.0	24
TA11172	185	277	250	4.0	24
TA11173	185	277	250	4.0	24
TA11179	185	277	250	4.0	24
TA11181	185	277	250	4.0	24
TA11182	185	277	250	4.0	24
TA11192	185	277	250	4.0	24
TA11195	185	277	250	4.0	24
TA11200	185	277	250	4.0	24
TA11208	185	277	250	4.0	24
TA11209	185	277	250	4.0	24
TA11217	185	277	250	4.0	24
TA11218	185	277	250	4.0	24
TA11226	185	277	250	4.0	24
TA11227	185	277	250	4.0	24
TA11228	185	277	250	4.0	24
TA11234	185	277	250	4.0	24
TA11235	185	277	250	3.0	24
TA11237	185	277	250	4.0	24
TA11249	185	277	250	4.0	24
TA11250	185	277	250	4.0	24
TA11251	185	277	250	4.0	24
TA11253	185	277	250	4.0	24
TA1169	185	277	250	4.0	24
TA1171	185	277	250	4.0	24
TA1173	185	277	250	4.0	24
TA1175	185	277	250	4.0	24
TA1181	185	277	250	4.0	24
TA1189	185	277	250	4.0	24
TA1194	185	277	250	4.0	24
TA1195	185	277	250	4.0	24
TA127	185	277	250	4.0	24
TA130	185	277	250	4.0	24
TA1381	185	277	250	4.0	24
TA1383	185	277	250	4.0	24
TA1387	185	277	250	4.0	24
TA1390	185	277	250	4.0	24
TA1394	185	277	250	4.0	24
TA1398	185	277	250	4.0	24
TA1401	185	277	250	4.0	24
TA1407	185	277	250	4.0	24
TA1409	185	277	250	4.0	24
TA1411	185	277	250	4.0	24
TA1415	185	277	250	4.0	24
TA1428	185	277	250	4.0	24
TA1429	185	277	250	4.0	24
TA1436	185	277	250	4.0	24
TA1438	185	277	250	4.0	24
TA1440	185	277	250	4.0	24
TA1445	185	277	250	4.0	24
TA1450	185	277	250	4.0	24
TA1461	185	277	250	4.0	24
TA1464	185	277	250	4.0	24
TA1473	185	277	250	4.0	24
TA1474	185	277	250	4.0	24
TA552	185	277	250	4.0	24
TA61	185	277	250	4.0	24
TA62	185	277	250	4.0	24
TA63	185	277	250	4.0	24
TA67	185	277	250	4.0	24
TA69	185	277	250	4.0	24
TA72	185	277	250	4.0	24
TA74	185	277	250	4.0	24
TA76	185	277	250	4.0	24
TA77	185	277	250	4.0	24
W10_1_SRR7478263	185	277	250	4.0	24
W15_SRR7478315	185	277	250	4.0	24
W18_SRR7478310	185	277	250	4.0	24
W3_SRR7478320	185	277	250	4.0	24
WEW_IG_46374	185	277	250	4.0	24
WEW_IG_46387	185	277	250	0.0	24
WEW_PI_471609	185	277	250	4.0	24
WEW_PI_471766	185	277	250	4.0	24
WEW_PI_471801	185	277	250	4.0	24
WEW_PI_478684	185	277	250	4.0	24
WEW_PI_656868	185	277	250	4.0	24
TA11183	185	278	251	3.0	24
SRR13358660	185	279	252	2.0	27
TA11207	185	280	253	1.0	27
TA11214	185	280	253	1.0	27
WEW_PI_656872	185	281	254	0.0	27
85S21	185	282	254	0.0	27
CRR061683	185	282	254	0.0	27
TA11189	185	282	254	0.0	27
TA11196	185	282	254	0.0	27
TA11210	185	282	254	0.0	27
TA11240	185	282	254	0.0	27
TA1432	185	282	254	0.0	27
TA1434	185	282	254	0.0	27
TA1470	185	282	254	0.0	27
TA60	185	282	254	0.0	27
W1_SRR7478278	185	282	254	0.0	27
WATDE0399	185	282	254	0.0	27
WEW_PI_471708	185	282	254	0.0	27
WEW_PI_479779	185	282	254	0.0	27
13S9	185	283	254	0.0	27
38S1	185	283	254	0.0	27
C27_SRR7478301	185	283	254	0.0	27
CRR290069	185	283	254	0.0	27
CRR290077	185	283	254	0.0	27
CRR290102	185	283	254	0.0	27
CRR290219	185	283	243	0.0	27
FIN-L1	185	283	254	0.0	27
HD2189	185	283	254	0.0	27
IC112047	185	283	254	0.0	27
IC296443	185	283	254	0.0	27
WATDE0664	185	283	254	0.0	27
C306	185	284	254	0.0	27
CRR289920	185	284	254	0.0	27
CRR289968	185	284	254	0.0	27
CWI87127	185	284	254	0.0	27
LGM165	185	284	254	0.0	27
SRR13358704	185	284	254	0.0	27
TA1074	185	284	254	0.0	27
TA11193	185	284	254	0.0	27
TA11199	185	284	254	0.0	27
TA1413	185	284	254	0.0	27
WEW_PI_538715	185	285	254	0.0	27
99S31	186	227	200	12.0	28
CRR061703	186	227	200	12.0	28
CRR061709	186	227	200	12.0	28
CRR061710	186	227	200	12.0	28
CRR061717	186	227	200	12.0	28
NP4	186	227	200	12.0	28
Radiant	186	227	200	12.0	28
SRR11670754	186	227	200	12.0	28
SRR11670765	186	227	200	12.0	28
SRR11670787	186	227	200	12.0	28
SRR13358673	186	227	200	12.0	28
SRR33613747	186	227	200	12.0	28
TA1108	186	227	200	12.0	28
TA980	186	227	200	12.0	28
W16_SRR7478314	186	227	200	12.0	28
W8_SRR7478274	186	227	200	12.0	28
WEW_PI_471620	186	227	200	12.0	28
WEW_PI_478703	186	227	200	12.0	28
WEW_PI_654311	186	227	200	12.0	28
WEW_PI_656865	186	227	200	12.0	28
CRR061695	186	277	250	4.0	29
CRR061698	186	277	250	4.0	29
SRR13358668	186	277	250	4.0	29
SRR13358670	186	277	250	4.0	29
TA1033	186	277	250	4.0	29
WEW_IG_115808	186	277	250	4.0	29
WEW_PI_471753	186	277	250	4.0	29
WEW_PI_471791	186	277	250	4.0	29
WEW_PI_538701	186	277	250	4.0	29
WEW_PI_654336	186	277	250	4.0	29
WEW_PI_656869	186	281	254	0.0	29
SRR13358677	186	282	254	0.0	29
92S12	186	283	254	0.0	27
CRR290123	186	283	254	0.0	27
WATDE0098	186	283	254	0.0	27
WATDE0665	186	283	254	0.0	27
PI219867	186	284	233	0.0	27
SRR13358682	186	284	254	0.0	27
SRR15208101	186	284	243	0.0	27
WEW_PI_471720	186	284	254	0.0	27
Y2032_CRR649843_ASP	186	285	251	0.0	27
WEW_PI_478723	187	227	200	13.0	28
WEW_PI_471693	187	282	254	0.0	29
WATDE0669	188	227	200	14.0	28
TA83	188	277	250	4.0	29
NBPGR13	188	284	254	0.0	27
SRR13358711	189	224	197	18.0	28
C20_SRR7478259	189	227	200	15.0	28
WEW_TD023715	189	227	200	15.0	28
SRR11670820	189	277	250	4.0	29
W19_SRR7478311	189	277	250	4.0	29
WEW_IG_46057	189	277	250	4.0	29
NP101	190	227	200	16.0	28
W11_1_SRR7478264	190	227	200	16.0	28
WEW_PI_471680	191	227	200	17.0	28
WEW_PI_471780	191	277	250	4.0	29
WEW_PI_656871	191	277	250	4.0	29
K65	192	227	200	18.0	28
W6_SRR7478272	192	227	200	18.0	28
WEW_PI_467049	192	282	254	0.0	29
TA1156	192	284	254	0.0	27
CRR061705	193	227	200	19.0	28
WEW_TD_023697	193	227	200	19.0	28
CRR061700	193	277	250	4.0	29
WEW_PI_479782	194	227	200	20.0	28
WEW_PI_466984	194	277	250	4.0	29
79S30	195	227	200	21.0	28
RABD_93_40	195	227	200	21.0	28
SRR13358651	226	284	252	0.0	38
Gallagher	227	278	251	3.0	38
SRR13358720	227	284	254	0.0	38
SRR33613736	228	267	240	14.0	37
WATDE0952	228	271	244	10.0	37
WATDE1012	228	271	244	10.0	37
C29_SRR7478307	228	273	246	8.0	37
62S20	228	278	251	3.0	38
WATDE0302	228	278	251	3.0	38
DL7882VIDISHA	228	283	254	0.0	38
HI1500AMRITA	228	283	254	0.0	38
IC111853	228	284	254	0.0	38
SRR13358699	228	284	254	0.0	38
SRR13358733	228	284	254	0.0	38
SRR22993473	228	284	254	0.0	38
WEW_TD_023643	228	284	254	0.0	38
CRR061701	232	277	250	8.0	40
CWI101465	232	282	257	3.0	40
9S4	233	284	259	3.0	40
WATDE0672	236	281	260	8.0	40
WATDE0687	236	283	260	6.0	40
WATDE0843	236	283	260	6.0	40
Narmada4	236	284	260	5.0	40
WATDE0643	236	284	260	5.0	40
IC398298	237	283	260	7.0	41
BANSI224	238	283	260	8.0	41
Hindi62	238	283	260	8.0	41
KharchiaLalGehun	238	283	260	8.0	41
SRR14251449	240	283	260	10.0	41
93S13	242	281	254	14.0	41
MACS6222	244	284	260	13.0	42
WATDE0048	245	284	260	14.0	42
PI221419	246	284	260	15.0	42
TA90	247	282	254	19.0	42
WH147	247	284	260	16.0	42
DWR162	249	283	260	19.0	42
TA11221	250	281	254	22.0	43
SRR13358662	250	282	257	21.0	43
TA1077	250	282	257	21.0	43
TA11153	250	282	257	21.0	43
TA11154	250	282	257	21.0	43
TA11155	250	282	257	21.0	43
TA1120	250	282	257	21.0	43
TA1130	250	282	257	21.0	43
TA1140	250	282	257	21.0	43
W13_SRR7478281	250	282	257	21.0	43
WEW_PI_428064	250	282	257	21.0	43
WEW_TD_023697	250	283	260	20.0	43
CWI86977	250	284	260	19.0	43
SRR13358663	250	284	260	19.0	43
SRR13358679	250	284	260	19.0	43
TA10422	250	284	260	19.0	43
TA1080	250	284	260	19.0	43
TA1082	250	284	260	19.0	43
TA1093	250	284	260	19.0	43
TA11051	250	284	260	19.0	43
TA1108	250	284	260	19.0	43
TA1112	250	284	260	19.0	43
TA11152	250	284	260	19.0	43
TA1115	250	284	260	19.0	43
TA1119	250	284	260	19.0	43
TA11222	250	284	260	19.0	43
TA11223	250	284	260	19.0	43
TA11224	250	284	260	19.0	43
TA11225	250	284	260	19.0	43
TA11229	250	284	260	19.0	43
TA11230	250	284	260	19.0	43
TA11231	250	284	260	19.0	43
TA11232	250	284	260	19.0	43
TA11242	250	284	260	19.0	43
TA11243	250	284	260	19.0	43
TA11244	250	284	260	19.0	43
TA11245	250	284	260	19.0	43
TA11246	250	284	260	19.0	43
TA11247	250	284	260	19.0	43
TA11248	250	284	260	19.0	43
TA11252	250	284	260	19.0	43
TA11254	250	284	260	19.0	43
TA11255	250	284	260	19.0	43
